date,season,forecast
2014-06-04,2014,6.594871439
2014-06-18,2014,6.067845374
2014-07-02,2014,6.002855172
2014-07-16,2014,6.116408979
2014-08-06,2014,5.546644696
2014-08-20,2014,5.24685498
2014-09-03,2014,5.246433891
2014-09-17,2014,5.09631861
2014-10-02,2014,5.023266751
2014-10-16,2014,4.742942037
2014-11-05,2014,4.743044394
2014-11-19,2014,4.541570442
2014-12-03,2014,4.248066409
2014-12-17,2014,4.227777487
2015-01-07,2014,4.296670016
2015-01-21,2014,4.411609947
2015-02-04,2014,4.567844866
2015-02-18,2014,4.758046535
2015-03-04,2014,4.799764296
2015-03-18,2014,4.642737568
2015-04-02,2014,4.537217006
2015-04-16,2014,4.509683561
2015-05-06,2014,4.493122994
2015-05-20,2014,4.501976198
2015-06-03,2014,4.520460191
2015-06-17,2014,4.544536121
2015-07-02,2014,4.571941775
2015-07-16,2014,4.607271887
2015-04-28,2015,5.686684069
2015-05-06,2015,5.595909774
2015-05-20,2015,5.59159859
2015-06-03,2015,5.64115535
2015-06-17,2015,5.506260227
2015-07-02,2015,5.052393804
2015-07-16,2015,4.230778661
2015-08-05,2015,3.334139448
2015-08-19,2015,3.853754974
2015-09-02,2015,4.189404317
2015-09-17,2015,4.644534492
2015-10-07,2015,5.380189089
2015-10-21,2015,5.264081367
2015-11-04,2015,4.71738197
2015-11-19,2015,4.248136571
2015-12-03,2015,4.485238035
2015-12-17,2015,4.670273804
2016-01-06,2015,4.572931736
2016-01-20,2015,4.432014236
2016-02-03,2015,4.32322953
2016-02-17,2015,4.043834258
2016-03-02,2015,4.135363183
2016-03-16,2015,4.13570031
2016-04-06,2015,4.066623155
2016-04-20,2015,4.093473343
2016-05-04,2015,4.112636727
2016-05-18,2015,4.105367881
2016-06-02,2015,4.097743372
2016-06-16,2015,4.095121324
2016-07-06,2015,4.092180408
2016-07-20,2015,4.090285717
2016-04-20,2016,4.475164489
2016-05-04,2016,4.753602128
2016-05-18,2016,4.621384094
2016-06-02,2016,4.63176553
2016-06-16,2016,4.751225443
2016-07-06,2016,4.536046435
2016-07-20,2016,4.472745991
2016-08-03,2016,4.635164772
2016-08-17,2016,5.46
2016-09-07,2016,5.7
2016-09-21,2016,5.92
2016-10-05,2016,5.49
2016-10-19,2016,5.6
2016-11-02,2016,6.11
2016-11-17,2016,6.24
2016-12-08,2016,6.61
2016-12-22,2016,6.52
2017-01-04,2016,6.37
2017-01-18,2016,6.4
2017-02-08,2016,6.38
2017-02-22,2016,6.33
2017-03-09,2016,6.06
2017-03-22,2016,6.11
2017-04-05,2016,6.1
2017-04-05,2016,6.11
2017-04-19,2016,6.17
2017-05-03,2016,6.22
2017-05-17,2016,6.23
2017-05-17,2017,6.44
2017-06-07,2017,6.62
2017-06-21,2017,6.68
2017-07-05,2017,6.7
2017-07-19,2017,6.68
2017-09-06,2017,6.65
2017-09-20,2017,6.54
2017-09-20,2017,6.45
2017-10-04,2017,6.6
2017-10-18,2017,6.36
