date,season,forecast
2013-12-31,2014,7.8
2014-01-31,2014,7.8
2014-02-28,2014,7.8
2014-03-31,2014,7.8
2014-04-30,2014,7.8
2014-05-31,2014,7
2014-06-30,2014,7
2014-07-31,2014,6.2
2014-08-31,2014,5.8
2014-09-30,2014,5.3
2014-09-30,2015,6.5
2014-10-31,2014,5.1
2014-10-31,2015,6.5
2014-11-30,2014,4.7
2014-11-30,2015,6.5
2014-12-31,2014,4.7
2014-12-31,2015,6.5
2015-01-31,2014,4.7
2015-01-31,2015,6.5
2015-02-28,2014,5
2015-02-28,2015,6.5
2015-03-18,2014,5
2015-03-18,2015,6.5
2015-03-23,2014,4.7
2015-03-23,2015,6.5
2015-04-02,2014,4.6
2015-04-02,2015,6.2
2015-05-06,2014,4.5
2015-05-06,2015,5.7
2015-05-20,2014,4.5
2015-05-20,2015,5.7
2015-05-28,2014,4.4
2015-05-28,2015,5.7
2015-07-02,2015,5
2015-07-31,2015,4.5
2015-09-16,2015,5
2015-11-18,2015,4.6
2016-01-20,2015,4.1
2016-02-17,2015,3.9
2016-05-26,2016,6
2016-06-02,2016,6
2016-06-16,2016,6
2016-07-06,2016,6
2016-07-20,2016,6
2016-08-03,2016,6
2016-08-17,2016,6
2016-09-21,2016,6
2016-10-05,2016,6
2016-12-21,2016,6.5
2017-03-08,2016,6
2017-05-23,2016,6.2
2017-05-24,2016,6.15
