date,season,forecast
2016-05-31,2016,4.5
2016-06-01,2016,4.5
2016-06-02,2016,4.5
2016-06-03,2016,4.5
2016-06-07,2016,4.5
2016-06-08,2016,4.5
2016-06-09,2016,4.5
2016-06-10,2016,4.5
2016-06-13,2016,4.5
2016-06-14,2016,4.5
2016-06-15,2016,4.5
2016-06-16,2016,4.5
2016-06-17,2016,4.5
2016-06-20,2016,4.5
2016-06-21,2016,4.5
2016-06-22,2016,4.5
2016-06-23,2016,4.5
2016-06-24,2016,4.5
2016-06-27,2016,4.5
2016-06-28,2016,4.5
2016-06-29,2016,4.5
2016-06-30,2016,4.5
2016-07-01,2016,4.53
2016-07-04,2016,4.6
2016-07-05,2016,4.55
2016-07-06,2016,4.5
2016-07-07,2016,4.55
2016-07-08,2016,4.55
2016-07-11,2016,4.51
2016-07-12,2016,4.55
2016-07-13,2016,4.54
2016-07-14,2016,4.54
2016-07-15,2016,4.54
2016-07-18,2016,4.54
2016-07-19,2016,4.52
2016-07-20,2016,4.45
2016-07-21,2016,4.45
2016-07-22,2016,4.5
2016-07-25,2016,4.5
2016-07-26,2016,4.5
2016-07-27,2016,4.5
2016-07-28,2016,4.5
2016-07-29,2016,4.5
2016-08-01,2016,4.5
2016-08-02,2016,4.5
2016-08-03,2016,4.5
2016-08-04,2016,4.55
2016-08-05,2016,4.55
2016-08-08,2016,4.55
2016-08-09,2016,4.6
2016-08-10,2016,4.65
2016-08-11,2016,4.7
2016-08-12,2016,4.7
2016-08-15,2016,4.72
2016-08-16,2016,4.8
2016-08-17,2016,4.95
2016-08-18,2016,5.01
2016-08-19,2016,5.1
2016-08-22,2016,5.1
2016-08-23,2016,5.1
2016-08-24,2016,5.11
2016-08-25,2016,5.11
2016-08-26,2016,5.1
2016-08-29,2016,5.1
2016-08-30,2016,5.12
2016-08-31,2016,5.15
2016-09-01,2016,5.17
2016-09-02,2016,5.25
2016-09-05,2016,5.24
2016-09-06,2016,5.25
2016-09-07,2016,5.25
2016-09-08,2016,5.25
2016-09-09,2016,5.3
2016-09-12,2016,5.3
2016-09-13,2016,5.35
2016-09-14,2016,5.4
2016-09-15,2016,5.4
2016-09-16,2016,5.6
2016-09-19,2016,5.6
2016-09-20,2016,5.65
2016-09-21,2016,5.5
2016-09-22,2016,5.5
2016-09-23,2016,5.5
2016-09-26,2016,5.5
2016-09-27,2016,5.5
2016-09-28,2016,5.5
2016-09-29,2016,5.5
2016-09-30,2016,5.45
2016-10-03,2016,5.4
2016-10-04,2016,5.3
2016-10-05,2016,5.15
2016-10-06,2016,5.15
2016-10-07,2016,5.15
2016-10-10,2016,5.15
2016-10-11,2016,5.15
2016-10-12,2016,5.17
2016-10-13,2016,5.25
2016-10-14,2016,5.4
2016-10-17,2016,5.4
2016-10-18,2016,5.4
2016-10-19,2016,5.4
2016-10-20,2016,5.4
2016-10-21,2016,5.4
2016-10-25,2016,5.4
2016-10-26,2016,5.5
2016-10-27,2016,5.51
2016-10-28,2016,5.6
2016-10-31,2016,5.6
2016-11-01,2016,5.62
2016-11-02,2016,5.95
2016-11-03,2016,5.95
2016-11-04,2016,5.95
2016-11-07,2016,5.95
2016-11-08,2016,5.95
2016-11-09,2016,5.95
2016-11-10,2016,5.95
2016-11-11,2016,5.95
2016-11-14,2016,6.0
2016-11-15,2016,6.05
2016-11-16,2016,6.1
2016-11-17,2016,6.15
2016-11-18,2016,6.06
2016-11-21,2016,6.06
2016-11-22,2016,6.05
2016-11-23,2016,6.05
2016-11-24,2016,6.05
2016-11-25,2016,6.05
2016-11-28,2016,6.05
2016-11-29,2016,6.1
2016-11-30,2016,6.1
2016-12-01,2016,6.1
2016-12-02,2016,6.1
2016-12-05,2016,6.1
2016-12-06,2016,6.2
2016-12-07,2016,6.22
2016-12-08,2016,6.28
2016-12-09,2016,6.35
2016-12-12,2016,6.35
