date,season,forecast
2014-06-04,2013,8.4
2014-06-04,2014,7.1
2014-06-18,2013,8.4
2014-06-18,2014,7.1
2014-07-02,2013,8.4
2014-07-02,2014,7.1
2014-07-16,2013,8.4
2014-07-16,2014,6
2014-08-06,2014,6
2014-08-06,2015,6.6
2014-08-20,2014,5.8
2014-08-20,2015,6.6
2014-09-03,2014,5.8
2014-09-03,2015,6.6
2014-09-17,2014,5.3
2014-09-17,2015,6.6
2014-10-02,2014,4.8
2014-10-02,2015,6.6
2014-10-16,2014,4.8
2014-10-16,2015,6.6
2014-11-05,2014,4.8
2014-11-05,2015,6.2
2014-11-19,2014,4.8
2014-11-19,2015,6.2
2014-12-03,2014,4.8
2014-12-03,2015,6.2
2014-12-17,2014,4.8
2014-12-17,2015,6.2
2015-01-21,2014,4.8
2015-01-21,2015,6.2
2015-02-04,2014,5
2015-02-04,2015,6.4
2015-02-18,2014,5
2015-02-18,2015,6.4
2015-03-04,2014,5
2015-03-04,2015,6.4
2015-03-18,2014,4.9
2015-03-18,2015,6.1
2015-04-02,2014,4.9
2015-04-02,2015,6.1
2015-04-16,2014,4.7
2015-04-16,2015,5.7
2015-05-06,2014,4.5
2015-05-06,2015,5.7
2015-05-20,2014,4.5
2015-05-20,2015,5.4
2015-06-03,2014,4.5
2015-06-03,2015,5.7
2015-06-17,2014,4.4
2015-06-17,2015,5.4
2016-07-02,2014,4.4
2015-07-02,2015,5.4
2016-07-16,2014,4.4
2015-07-16,2015,4.3
2015-08-05,2015,3.7
2015-08-05,2016,5.2
2015-08-19,2015,3.7
2015-08-19,2016,5.2
2015-09-02,2015,4.3
2015-09-02,2016,5.2
2015-09-16,2015,4.3
2015-09-16,2016,5.2
2015-10-07,2015,5.3
2015-10-07,2016,5.2
2015-10-21,2015,5.3
2015-10-21,2016,5.2
2015-11-04,2015,5.3
2015-11-04,2016,5.2
2015-11-18,2015,4.5
2015-11-18,2016,5.2
2015-12-02,2015,4.5
2015-12-02,2016,5.2
2015-12-16,2015,4.5
2015-12-16,2016,5.2
2016-01-20,2015,4.2
2016-01-20,2016,5.2
2016-02-03,2015,4.2
2016-02-03,2016,5.2
2016-02-17,2015,4
2016-02-17,2016,4.6
2016-03-02,2015,4
2016-03-02,2016,4.6
2016-03-16,2015,4
2016-03-16,2016,4.6
2016-04-06,2015,4
2016-04-06,2016,4.6
2016-04-20,2015,4
2016-04-20,2016,4.6
2016-05-04,2015,4
2016-05-04,2016,4.6
2016-05-18,2015,4
2016-05-18,2016,4.6
2016-06-02,2016,4.6
2016-06-16,2016,4.6
2016-07-06,2016,4.6
2016-07-20,2016,4.6
2016-08-03,2016,4.6
2016-08-17,2016,5
2016-09-21,2016,5
2016-10-05,2016,5
2016-10-19,2016,5.3
2016-11-02,2016,5.8
2016-12-07,2016,6.2
2017-03-08,2016,5.9
2017-04-05,2016,6
