trading_event,date,amf,bmp,but,smp,wmp
24,2010-06-01,5324,3511,4657,3462,3790
25,2010-07-06,4620,3101,4076,3067,3224
26,2010-08-03,4302,2905,3778,2770,2974
27,2010-09-01,4681,3198,4088,3197,3522
28,2010-09-15,5189,2992,4522,3229,3602
29,2010-10-05,5256,3072,4599,3221,3521
30,2010-10-19,5196,3033,4514,3072,3484
31,2010-11-02,5394,3011,4671,3021,3495
32,2010-11-16,5341,3113,4658,3096,3447
33,2010-12-01,5333,3034,4612,3060,3556
34,2010-12-15,5380,3020,4656,3128,3620
35,2011-01-04,5984,3390,5254,3492,3750
36,2011-01-18,5946,3880,5238,3579,3780
37,2011-02-01,6486,3880,5749,3913,3995
38,2011-02-15,6324,3880,5518,3898,4320
39,2011-03-01,6424,3880,5551,3977,4619
40,2011-03-15,6111,3880,5365,3816,4105
41,2011-04-05,5985,3880,5298,3763,3878
42,2011-04-19,5951,3880,5262,3771,3912
43,2011-05-03,5670,3880,5068,3909,3859
44,2011-05-17,5340,3880,4754,3824,3863
45,2011-06-01,5669,3880,5219,4372,3780
46,2011-06-15,5346,3880,4801,3994,3888
47,2011-07-05,5278,3335,4724,3704,3638
48,2011-07-19,4614,3345,4124,3488,3475
49,2011-08-02,4297,3319,3844,3479,3474
50,2011-08-16,4273,3420,3835,3438,3385
51,2011-09-06,4353,2988,3925,3444,3314
52,2011-09-20,3846,2985,3412,3230,3345
53,2011-10-04,3703,3075,3286,3193,3309
54,2011-10-18,3645,3019,3212,3292,3503
55,2011-11-01,3309,2934,2922,3292,3487
56,2011-11-15,3571,3039,3147,3354,3574
57,2011-12-06,4013,3410,3537,3424,3637
58,2011-12-20,4183,3280,3667,3312,3589
59,2012-01-03,3982,3585,3488,3269,3554
60,2012-01-17,4084,3430,3598,3351,3562
61,2012-02-01,3942,3430,3466,3296,3533
62,2012-02-15,3546,3430,3138,3259,3421
63,2012-03-06,3631,3430,3197,3194,3409
64,2012-03-20,3284,3430,2898,3125,3316
65,2012-04-03,3583,3430,3169,3078,3227
66,2012-04-17,3304,3430,2965,2871,2847
67,2012-05-01,2852,3430,2548,2730,2776
68,2012-05-15,2499,3430,2254,2573,2546
69,2012-06-05,3096,2456,2844,3011,2763
70,2012-06-19,3092,2509,2759,2834,2886
71,2012-07-03,2745,2483,2421,2599,2760
72,2012-07-17,2845,2662,2591,2727,2584
73,2012-08-01,2804,2416,2553,2805,2675
74,2012-08-15,3173,2668,2887,3023,2870
75,2012-09-04,3530,3091,3225,3211,2978
