Code,Calculated DSP,Settlement Price Status,Trade date,Published Time
MKPFU18,6.69,final,2018-09-27,2018-09-27T22:20:41+12:00
MKPFU18,6.69,final,2018-09-28,2018-09-28T22:19:56+12:00
MKPFU18,6.69,final,2018-10-01,2018-10-01T09:19:34+13:00
MKPFU18,6.7,final,2018-08-21,2018-08-21T22:06:21+12:00
MKPFU18,6.7,final,2018-08-22,2018-08-22T22:06:08+12:00
MKPFU19,6.22,final,2018-11-05,2018-11-05T22:21:01+13:00
MKPFU19,6.22,final,2018-11-06,2018-11-06T22:20:44+13:00
MKPFU19,6.25,final,2018-10-01,2018-10-01T22:20:17+13:00
MKPFU19,6.26,final,2018-09-27,2018-09-27T22:20:41+12:00
MKPFU19,6.26,final,2018-10-02,2018-10-02T22:21:05+13:00
MKPFU19,6.27,final,2018-09-28,2018-09-28T22:19:56+12:00
MKPFU19,6.52,final,2018-08-22,2018-08-22T22:06:08+12:00
MKPFU19,6.56,final,2018-08-21,2018-08-21T22:06:21+12:00
MKPFU20,5.98,final,2018-11-05,2018-11-05T22:21:01+13:00
MKPFU20,6.02,final,2018-09-27,2018-09-27T22:20:41+12:00
MKPFU20,6.02,final,2018-09-28,2018-09-28T22:19:56+12:00
MKPFU20,6.02,final,2018-10-01,2018-10-01T22:20:17+13:00
MKPFU20,6.02,final,2018-10-02,2018-10-02T22:21:05+13:00
MKPFU20,6.0,final,2018-11-06,2018-11-06T22:20:44+13:00
MKPFU20,6.28,final,2018-08-21,2018-08-21T22:06:21+12:00
MKPFU20,6.28,final,2018-08-22,2018-08-22T22:06:08+12:00
MKPFU21,6.85,final,2018-09-27,2018-09-27T22:20:41+12:00
MKPFU21,6.85,final,2018-09-28,2018-09-28T22:19:56+12:00
MKPFU21,6.85,final,2018-10-01,2018-10-01T22:20:17+13:00
MKPFU21,6.85,final,2018-10-02,2018-10-02T22:21:05+13:00
MKPFU21,7.0,final,2018-11-05,2018-11-05T22:21:01+13:00
MKPFU21,7.0,final,2018-11-06,2018-11-06T22:20:44+13:00
