date,rate
2008-01-03,0.7748
2008-01-04,0.7704
2008-01-07,0.7670
2008-01-08,0.7686
2008-01-09,0.7692
2008-01-10,0.7726
2008-01-11,0.7850
2008-01-14,0.7808
2008-01-15,0.7908
2008-01-16,0.7742
2008-01-17,0.7704
2008-01-18,0.7666
2008-01-21,0.7593
2008-01-22,0.7461
2008-01-23,0.7640
2008-01-24,0.7662
2008-01-25,0.7741
2008-01-28,0.7676
2008-01-29,0.7783
2008-01-30,0.7778
2008-01-31,0.7844
2008-02-01,0.7878
2008-02-04,0.7916
2008-02-05,0.7925
2008-02-07,0.7872
2008-02-08,0.7886
2008-02-11,0.7870
2008-02-12,0.7891
2008-02-13,0.7904
2008-02-14,0.7836
2008-02-15,0.7882
2008-02-18,0.7903
2008-02-19,0.7955
2008-02-20,0.7969
2008-02-21,0.7980
2008-02-22,0.7991
2008-02-25,0.8075
2008-02-26,0.8133
2008-02-27,0.8173
2008-02-28,0.8158
2008-02-29,0.8156
2008-03-03,0.7993
2008-03-04,0.8071
2008-03-05,0.8006
2008-03-06,0.8050
2008-03-07,0.7951
2008-03-10,0.7917
2008-03-11,0.7893
2008-03-12,0.8047
2008-03-13,0.8084
2008-03-14,0.8176
2008-03-17,0.8115
2008-03-18,0.7989
2008-03-19,0.8139
2008-03-20,0.7982
2008-03-25,0.7988
2008-03-26,0.8068
2008-03-27,0.8050
2008-03-28,0.8061
2008-03-31,0.7935
2008-04-01,0.7850
2008-04-02,0.7876
2008-04-03,0.7885
2008-04-04,0.7849
2008-04-07,0.7893
2008-04-08,0.7964
2008-04-09,0.7977
2008-04-10,0.7966
2008-04-11,0.7984
2008-04-14,0.7887
2008-04-15,0.7911
2008-04-16,0.7853
2008-04-17,0.7923
2008-04-18,0.7917
2008-04-21,0.7909
2008-04-22,0.7946
2008-04-23,0.7977
2008-04-24,0.7939
2008-04-28,0.7828
2008-04-29,0.7825
2008-04-30,0.7746
2008-05-01,0.7820
2008-05-02,0.7779
2008-05-05,0.7794
2008-05-06,0.7850
2008-05-07,0.7907
2008-05-08,0.7761
2008-05-09,0.7721
2008-05-12,0.7667
2008-05-13,0.7696
2008-05-14,0.7632
2008-05-15,0.7568
2008-05-16,0.7627
2008-05-19,0.7727
2008-05-20,0.7728
2008-05-21,0.7742
2008-05-22,0.7773
2008-05-23,0.7865
2008-05-26,0.7841
2008-05-27,0.7870
2008-05-28,0.7892
2008-05-29,0.7854
2008-05-30,0.7801
2008-06-03,0.7849
2008-06-04,0.7806
2008-06-05,0.7697
2008-06-06,0.7659
2008-06-09,0.7684
2008-06-10,0.7583
2008-06-11,0.7536
2008-06-12,0.7550
2008-06-13,0.7493
2008-06-16,0.7500
2008-06-17,0.7531
2008-06-18,0.7562
2008-06-19,0.7585
2008-06-20,0.7609
2008-06-23,0.7608
2008-06-24,0.7575
2008-06-25,0.7586
2008-06-26,0.7567
2008-06-27,0.7539
2008-06-30,0.7619
2008-07-01,0.7619
2008-07-02,0.7574
2008-07-03,0.7602
2008-07-04,0.7559
2008-07-07,0.7586
2008-07-08,0.7532
2008-07-09,0.7521
2008-07-10,0.7568
2008-07-11,0.7586
2008-07-14,0.7595
2008-07-15,0.7635
2008-07-16,0.7718
2008-07-17,0.7707
2008-07-18,0.7635
2008-07-21,0.7596
2008-07-22,0.7611
2008-07-23,0.7591
2008-07-24,0.7447
2008-07-25,0.7438
2008-07-28,0.7427
2008-07-29,0.7447
2008-07-30,0.7390
2008-07-31,0.7344
2008-08-01,0.7317
2008-08-04,0.7273
2008-08-05,0.7288
2008-08-06,0.7261
2008-08-07,0.7203
2008-08-08,0.7133
2008-08-11,0.7017
2008-08-12,0.6983
2008-08-13,0.6936
2008-08-14,0.7002
2008-08-15,0.7007
2008-08-18,0.7040
2008-08-19,0.7096
2008-08-20,0.7133
2008-08-21,0.7133
2008-08-22,0.7192
2008-08-25,0.7096
2008-08-26,0.7036
2008-08-27,0.6951
2008-08-28,0.7018
2008-08-29,0.7028
2008-09-01,0.6993
2008-09-02,0.6936
2008-09-03,0.6853
2008-09-04,0.6841
2008-09-05,0.6672
2008-09-08,0.6787
2008-09-09,0.6712
2008-09-10,0.6684
2008-09-11,0.6536
2008-09-12,0.6523
2008-09-15,0.6676
2008-09-16,0.6543
2008-09-17,0.6571
2008-09-18,0.6597
2008-09-19,0.6742
2008-09-22,0.6844
2008-09-23,0.6908
2008-09-24,0.6837
2008-09-25,0.6829
2008-09-26,0.6847
2008-09-29,0.6850
2008-09-30,0.6678
2008-10-01,0.6706
2008-10-02,0.6729
2008-10-03,0.6557
2008-10-06,0.6584
2008-10-07,0.6300
2008-10-08,0.6255
2008-10-09,0.6053
2008-10-10,0.6035
2008-10-13,0.6116
2008-10-14,0.6137
2008-10-15,0.6225
2008-10-16,0.5945
2008-10-17,0.6167
2008-10-20,0.6112
2008-10-21,0.6194
2008-10-22,0.6101
2008-10-23,0.5943
2008-10-24,0.5968
2008-10-28,0.5415
2008-10-29,0.5716
2008-10-30,0.5867
2008-10-31,0.5889
