trading_event,date,amf,but,bmp,smp,wmp
24,2010-01-06,5323.511722,,,3461.530303,3789.582014
25,2010-06-07,4620.194349,,,3066.673918,3223.62615
26,2010-03-08,4302.288262,,2905.070423,2769.630381,2974.215226000001
27,2010-01-09,4681.42623,,3198.5,3197.387402,3522.458278
28,2010-09-15,5188.8424380000015,,2991.5,3228.519716,3601.604737
29,2010-05-10,5256.0386130000015,,3071.971904,3220.795714,3521.102525
30,2010-10-19,5196.463858,,3033.3769629999997,3071.752941,3483.990475
31,2010-02-11,5393.887755,,3011.428571,3020.916958,3495.267001
32,2010-11-16,5341.24439,,3112.857143,3096.052411,3447.495041
33,2010-01-12,5333.498654,,3033.571429,3059.950015,3556.115556
34,2010-12-15,5380.453846,,3020.0,3127.921141,3619.730636
35,2011-04-01,5984.401211,,3390.0,3491.545122,3750.238158
36,2011-01-18,5946.129653,,3880.0,3579.243902,3779.982353
37,2011-01-02,6486.051502,,,3913.269231,3994.726129
38,2011-02-15,6323.581818,,,3898.441525,4319.932727
39,2011-01-03,6424.306705,,,3976.717651,4618.957143
40,2011-03-15,6111.05464,,,3816.263158,4104.985714
41,2011-05-04,5985.309091,,,3763.360445,3877.996667
42,2011-04-19,5950.814433,,,3770.511968,3911.910678
43,2011-03-05,5669.993103,,,3908.931992,3859.377694
44,2011-05-17,5339.759978,,,3824.385422,3862.894737
45,2011-01-06,5669.143612,,,4372.170543,3780.326
46,2011-06-15,5345.511755,,,3993.824228,3887.633254
47,2011-05-07,5277.672727,,3335.0,3704.147113,3637.916901
48,2011-07-19,4613.760417,,3345.0,3487.585170000001,3475.2546880000004
49,2011-02-08,4297.317362,,3318.604651,3478.606348,3474.476757
50,2011-08-16,4273.211866,,3419.850993,3437.956543,3385.294318
51,2011-06-09,4352.876297999999,,2987.898853,3443.6015409999995,3313.541346
52,2011-09-20,3845.759837,,2984.723757,3229.683872,3345.089269
53,2011-04-10,3702.536194,,3075.484048000001,3193.376363,3308.534405
54,2011-10-18,3644.529734,,3018.684211,3291.8621,3502.7565159999995
55,2011-01-11,3308.969918,,2934.354839,3292.341674,3487.128125
56,2011-11-15,3571.328671,,3039.338521,3354.339564,3574.3952159999994
57,2011-06-12,4012.608537,,3410.0,3423.580456,3637.230682
58,2011-12-20,4182.696266,,3280.0,3312.425543,3589.128884
59,2012-03-01,3982.286064,,3585.0,3268.9969920000012,3554.059093
60,2012-01-17,4083.658124,,3430.0,3351.173389,3562.092593
61,2012-01-02,3942.284768,,,3296.360483,3533.101429
62,2012-02-15,3546.38834,,,3259.433962,3420.906811
63,2012-06-03,3631.25,,,3194.354287,3408.723022
64,2012-03-20,3284.153963,,,3125.303823,3315.866395
65,2012-03-04,3583.383769,,,3077.940101,3227.413115
66,2012-04-17,3303.593216,,,2871.076755,2847.391533
67,2012-01-05,2851.710617,,,2729.595985,2776.357563
68,2012-05-15,2498.72093,,,2573.48013,2546.4912
69,2012-05-06,3095.544854,,2456.154562,3011.174028,2762.990004
70,2012-06-19,3091.539897,,2509.473684,2833.892411,2886.026578
71,2012-03-07,2744.697949,,2482.8440370000008,2598.862952,2759.743461
72,2012-07-17,2845.071241,,2662.440147,2727.063318,2584.054318
73,2012-01-08,2803.822562000001,,2415.6953129999997,2805.290060000001,2675.125496
74,2012-08-15,3172.586334,,2667.54372,3023.067149,2869.585334
75,2012-04-09,3529.590226,,3090.559105000001,3210.780174,2977.903592
76,2012-09-18,3198.921552,,3028.846154,3339.412992,3035.778307
77,2012-02-10,2982.460905,,3143.797909,3308.697248,3166.875372
78,2012-10-16,2879.147423,,3288.75,3325.222587,3421.155615
79,2012-06-11,3025.6826760000013,,3510.0,3449.331886,3351.582394
80,2012-11-20,3065.904092,,3615.0,3402.425458,3275.93227
81,2012-04-12,3196.781993,,3615.0,3361.518662,3170.250275
82,2012-12-18,3180.248975,,3600.0,3418.911478,3147.268501
83,2013-02-01,3168.746161,,3640.0,3572.4158729999995,3198.603496
84,2013-01-16,3252.8958420000013,,3405.0,3552.4823530000012,3288.418407
85,2013-05-02,3500.499646,,3530.0,3554.2612630000012,3468.071253
86,2013-02-19,3634.562035,3725.791969,3317.5,3591.619927,3654.491912
87,2013-05-03,3819.876456,4080.8109560000003,4200.0,3758.873048,4297.816229
88,2013-03-19,4415.753952,4549.671053,3904.333333,4050.051443,5115.849091
89,2013-02-04,4694.9622869999985,4425.466077,4595.0,5141.754647,5099.637505
90,2013-04-16,4963.554097,4720.720721,3982.1461719999998,4757.19726,5245.123697
91,2013-01-05,4674.947679999998,4409.020619,4500.0,4279.6747380000015,4720.993827
92,2013-05-15,4597.672018,3846.005564,3876.0,4252.450861,4722.396065
93,2013-04-06,4477.578558,3742.728927,4410.0,4163.955069,4643.05298
94,2013-06-18,4589.195076,3925.0,4315.0,4283.819936,4668.4055130000015
